Time,InternalFrag_Bytes,ExternalFrag_Ratio,TotalFree_Bytes,BiggestBlock_Bytes,TotalUserRequested
0,0,0.25466,928736,692224,9446
1,0,0.245667,917664,692224,20084
2,0,0.238618,909168,692224,28104
3,0,0.228957,897776,692224,39331
4,0,0.219104,886448,692224,50062
5,0,0.210006,876240,692224,59980
6,0,0.201815,867248,692224,68300
7,0,0.193197,857984,692224,77187
8,0,0.183575,847872,692224,87158
9,0,0.174949,839008,692224,95838
10,0,0.164174,828192,692224,105481
11,0,0.156187,820352,692224,113176
12,0,0.146145,810704,692224,122651
13,0,0.135999,801184,692224,132034
14,0,0.124423,790592,692224,142078
15,0,0.111805,779360,692224,151972
16,0,0.101978,770832,692224,160361
17,0,0.0927887,763024,692224,168020
18,0,0.0801352,752528,692224,178345
19,0,0.069151,743648,692224,187072
20,0,0.0541734,731872,692224,198163
21,0,0.0414534,722160,692224,207726
22,0,0.0278408,712048,692224,217748
23,0,0.0246173,701296,684032,226575
24,0,0.0239394,692416,675840,235289
25,0,0.0227406,683184,667648,244367
26,0,0.0288776,674848,655360,252542
27,0,0.0256311,664192,647168,263099
28,0,0.0251666,655472,638976,271645
29,0,0.0282099,644880,626688,281243
30,0,0.0262727,635184,618496,290793
31,0,0.0307248,625424,606208,300361
32,0,0.0304037,616768,598016,308879
33,0,0.0299968,608064,589824,317394
34,0,0.0364814,595152,573440,327561
35,0,0.0282375,585888,569344,336654
36,0,0.0319208,575424,557056,346945
37,0,0.032491,567296,548864,354904
38,0,0.0304978,557680,540672,364360
39,0,0.0352604,547696,528384,374170
40,0,0.0352809,539216,520192,382483
41,0,0.0336705,529840,512000,391688
42,0,0.0399311,520496,499712,400884
43,0,0.0391292,511536,491520,408470
44,0,0.0380537,502448,483328,417427
45,0,0.0446521,493056,471040,426658
46,0,0.0418019,483040,462848,436482
47,0,0.0453538,476256,454656,443177
48,0,0.0424488,466256,446464,452996
49,0,0.0478596,456000,434176,463090
50,0,0.0459058,446480,425984,472433
51,0,0.0437617,436912,417792,481827
52,0,0.0635795,424288,397312,490354
53,0,0.0492108,413568,393216,500897
54,0,0.0476492,404288,385024,509998
55,0,0.0560013,394848,372736,519276
56,0,0.0538599,385296,364544,528719
57,0,0.0835713,375440,344064,537554
58,0,0.0719776,366336,339968,546497
59,0,0.0783493,355536,327680,557174
60,0,0.0787968,346816,319488,565727
61,0,0.077871,337584,311296,574795
62,0,0.0863847,327280,299008,584960
63,0,0.0793233,315872,290816,596200
64,0,0.0953586,303360,274432,606715
65,0,0.0916535,293104,266240,616830
66,0,0.0954571,285280,258048,624478
67,0,0.102069,273696,245760,635893
68,0,0.113218,263280,233472,646162
69,0,0.10903,252848,225280,656437
70,0,0.170864,242064,200704,665424
71,0,0.173002,232784,192512,674511
72,0,0.17283,222832,184320,684331
73,0,0.171272,212528,176128,694476
74,0,0.193891,203248,163840,703617
75,0,0.180632,194960,159744,711722
76,0,0.194489,188144,151552,718349
77,0,0.21811,178112,139264,728237
78,0,0.328867,164784,110592,735740
79,0,0.280824,153776,110592,746569
80,0,0.238767,145280,110592,754897
81,0,0.247678,136112,102400,763906
82,0,0.267024,128528,94208,771367
83,0,0.288889,120960,86016,778789
84,0,0.311048,112960,77824,786601
85,0,0.320425,102464,69632,796922
86,0,0.346717,94048,61440,805164
87,0,0.37561,85280,53248,813798
88,0,0.669961,74464,24576,823579
89,0,0.687734,64048,20000,833826
90,0,0.904721,55920,5328,841527
91,0,0.0500997,1090944,1036288,850707
92,0,0.0559102,1080304,1019904,860510
93,0,0.0749115,1067072,987136,871410
94,0,0.0762867,1059792,978944,878535
95,0,0.0764904,1046720,966656,888807
96,0,0.0760261,1037328,958464,898005
97,0,0.0896926,1025904,933888,907835
98,0,0.101938,1017088,913408,915464
99,0,0.103249,1009440,905216,922972
